Phages designation,Escherichia_coli_vB_Eco1035,Escherichia_coli_vB_Eco1008,Escherichia_coli_vB_Eco1017,Escherichia_coli_vB_Eco1043,Escherichia_coli_vB_Eco1038,Escherichia_coli_vB_Eco1033,Escherichia_coli_vB_Eco1022,Escherichia_coli_vB_Eco1016,Escherichia_coli_vB_Eco1007,Escherichia_coli_vB_Eco1011,Escherichia_coli_vB_Eco1018,Escherichia_coli_vB_Eco1010,Escherichia_coli_vB_Eco1034,Escherichia_coli_vB_Eco1013,Escherichia_coli_vB_Eco1024,Escherichia_coli_vB_Eco1031,Escherichia_coli_vB_Eco1014,Escherichia_coli_vB_Eco1027,Escherichia_coli_vB_Eco1019,Escherichia_coli_vB_Eco1026,Escherichia_coli_vB_Eco1025,Escherichia_coli_vB_Eco1020,Staphylococcus_virus_K,Staphylococcus_virus_71,Staphylococcus_virus_3a,Staphylococcus_phage_44AHJD,Staphylococcus_phage_P68,Staphylococcus_phage_Sb-1,Acinetobacter baumannii phi3060,Acinetobacter baumannii phi3049,Acinetobacter baumannii phi3071,Acinetobacter baumannii phi3043,Acinetobacter baumannii phi3072,Acinetobacter baumannii phi3003,Pseudomonas_aeruginosa_4052,Pseudomonas_aeruginosa_4071,Pseudomonas_aeruginosa_4024,Pseudomonas_aeruginosa_4058,Pseudomonas_aeruginosa_4051,Pseudomonas_aeruginosa_4056,Pseudomonas_aeruginosa_4060,Pseudomonas_aeruginosa_4072,Pseudomonas_aeruginosa_4059,Pseudomonas_aeruginosa_4065,Pseudomonas_aeruginosa_4061,Pseudomonas_aeruginosa_4064,Pseudomonas_aeruginosa_4068,Pseudomonas_aeruginosa_4057,Pseudomonas_aeruginosa_4025,Pseudomonas_aeruginosa_4063,Pseudomonas_aeruginosa_4002,Pseudomonas_aeruginosa_4047,Pseudomonas_aeruginosa_4032,Pseudomonas_aeruginosa_4031,Pseudomonas_aeruginosa_4049,Pseudomonas_aeruginosa_4070,Pseudomonas_aeruginosa_4026,Pseudomonas_aeruginosa_4020,Pseudomonas_aeruginosa_4008,Pseudomonas_aeruginosa_4067,Pseudomonas_aeruginosa_4069,Pseudomonas_aeruginosa_4066,Pseudomonas_aeruginosa_4029,Pseudomonas_aeruginosa_4005,Pseudomonas_aeruginosa_4003,Pseudomonas_aeruginosa_4030,Pseudomonas_aeruginosa_4021,Pseudomonas_aeruginosa_4045,Pseudomonas_aeruginosa_4017,Staphylococcus_virus_77
Escherichia_coli_vB_Eco1035,1,0.825000055063626,0.077177041236134,0.078498047362555,0.710411922766081,0.075798355137029,0.078943229677101,0.075431597368023,0.08007185309143,0.075894375320276,0.086666608565947,0.080085437627431,0.079178784071026,0.076422833388573,0.100499351381829,0.078891912416598,0.581192747948197,0.09683632662066,0.073685714048247,0.07605668496844,0.086189061702167,0.075096075832616,0.09351842128847,0.081930632054403,0.082651567346679,0.075408733452172,0.077613865944198,0.09225010078087,0.07657355016847,0.076957693726909,0.078145763900474,0.076930435617055,0.079894512377805,0.077526742694958,0.07706284324373,0.082978807703934,0.0820752433575,0.076440118723873,0.077023713296359,0.076657579647425,0.083348823689944,0.083317201630371,0.076567659323689,0.07739400970604,0.081435089578983,0.081351449647814,0.077250126111492,0.094520100766171,0.08222106067185,0.083839537606962,0.078838742210147,0.07887726423505,0.078547477722929,0.07825013668479,0.076990605831663,0.079388354647877,0.080047714614595,0.079098672588511,0.07924083630361,0.073004741962984,0.073922333643974,0.079254208323884,0.07876555302145,0.080062804012575,0.078950058508119,0.07790558286575,0.075121853732188,0.078789450563016,0.079487587032942,0.082334714178954
Escherichia_coli_vB_Eco1008,0.888490812439061,1,0.081759116501559,0.083705231510199,0.723399560743614,0.081533122470824,0.083811523145956,0.080761356799842,0.085418844618798,0.082075558404013,0.093164543786652,0.085409828661446,0.083384229217102,0.082324593059877,0.100798740353996,0.084467180738386,0.572309901467304,0.099844622175556,0.078911260918729,0.080693221243904,0.091500994819588,0.079427763795765,0.099812575739587,0.087321588169232,0.088798391310139,0.080982383484963,0.083015154315483,0.098386373355867,0.08157904464411,0.081702077392786,0.082961682498705,0.081743944809579,0.085431851303684,0.082633588108662,0.081939219714813,0.087465290720227,0.086350950897766,0.081840293950455,0.082654753733151,0.081706690817611,0.088733488089881,0.088455302859691,0.081575050679945,0.082251990326264,0.086228674949308,0.086142279168327,0.082260566483425,0.099381071653209,0.086312647108194,0.088062828819252,0.083561902691827,0.083612922421493,0.083320211978095,0.083135116057542,0.082327835810881,0.083948362551611,0.084839788186793,0.083915722515201,0.084267558511543,0.077195259496798,0.079106006040935,0.083927177398712,0.083511612181387,0.084859034340041,0.084089502167634,0.082440988228162,0.079929600062804,0.084565557638806,0.084415483494975,0.086938474973171
Escherichia_coli_vB_Eco1017,0.08555614599113,0.085789646209279,1,0.079523594817008,0.084437973720423,0.380400124153882,0.11093286604543,0.334444581897256,0.077860155326311,0.362392442178708,0.112666344922302,0.078012428648344,0.112004044193197,0.381871464611518,0.090594961809515,0.081256492625761,0.08530786505804,0.08494220118567,0.073231742594113,0.102032531287245,0.107422587620819,0.076405849758173,0.084293132879021,0.07902696124889,0.082344890542451,0.068627609299196,0.069257794668393,0.08403548505366,0.086651161494032,0.091596691871768,0.094374028725155,0.093181399955115,0.0765652545541,0.093050498563534,0.083072093594468,0.084699482794213,0.081110221644963,0.08210342031319,0.083848337042434,0.082701335974006,0.085666550388489,0.08591650981003,0.083627535779244,0.083274571447397,0.08278678996167,0.083713793788842,0.084485661982302,0.093030696889507,0.082444493314708,0.084598308528641,0.077834628850595,0.08010874680701,0.077912465246729,0.077572000314418,0.08229755161992,0.080664235681751,0.081094779562954,0.079863949696641,0.080757638613776,0.075701995458092,0.073821511842431,0.079863039172543,0.079989548279745,0.081590566138043,0.080700585152912,0.076207630845984,0.095850512600037,0.07923718581796,0.081009135662814,0.08196747593457
Escherichia_coli_vB_Eco1043,0.095365878289192,0.09486202129919,0.084390429098313,1,0.094097133044049,0.086309025518341,0.083481339407829,0.084810811446231,0.3018549451636,0.084592553236092,0.113183321861473,0.30366161924965,0.083252864697168,0.08717060326956,0.097933068645624,0.320584446094185,0.097307567058412,0.097949674766683,0.100882526773098,0.087700413102867,0.095201260179439,0.090492593257575,0.096956134845404,0.084830293464136,0.084809223519111,0.079381960752494,0.081010106252049,0.097369070047684,0.084606810703879,0.082748700193964,0.084567015956135,0.083391632637057,0.08973236069523,0.082854859863612,0.083042098254256,0.086493978416655,0.086012186556941,0.082395848086488,0.081967846535985,0.082252171333663,0.089170472424165,0.090071637585337,0.082079429644745,0.083823236280957,0.089868826665165,0.089507589288194,0.081715163683918,0.096760019435669,0.083817548281134,0.086593713643855,0.08580768100068,0.088430762339438,0.087910290810873,0.087046332323997,0.083217542313356,0.08830812896762,0.086844521756257,0.088612774558327,0.086643659079884,0.080568060305337,0.081800302100525,0.088065916664272,0.088192890738512,0.086670519139257,0.085736630306634,0.085158233426967,0.084216543554833,0.09476289876161,0.086114639334669,0.084260630290381
Escherichia_coli_vB_Eco1038,0.856784214882452,0.780436875816664,0.083779080084191,0.086022188578404,1,0.084214762972176,0.084983352628478,0.082421358359542,0.087066690188325,0.084360845986726,0.094750351425772,0.087082955055678,0.084695013036295,0.084109110047655,0.102066478264297,0.087029306766746,0.544858448955828,0.101503888295623,0.080443900786646,0.082986054898529,0.092721643342469,0.086338545798397,0.099897940576791,0.088549321651588,0.089398655320109,0.082539209322809,0.084991081754142,0.09915674835533,0.082798098924919,0.083140826534115,0.08406988582649,0.083366749251151,0.08699426030023,0.08396757226426,0.083539475307088,0.089632181890661,0.088420344968484,0.083477613581924,0.084408152544055,0.083575949466782,0.091128354418987,0.091223449345134,0.083476237492247,0.084170520132793,0.088302562161432,0.088570695254297,0.08441789055029,0.10229037068316,0.088314738711558,0.089981461871612,0.086071881618009,0.086461718692202,0.085909849463011,0.085746089627742,0.083766460259232,0.086797880576628,0.087448823485511,0.086729602310293,0.08704626394125,0.080694575164498,0.08120744389133,0.086507478770409,0.086142463842696,0.087530100469003,0.086824515423531,0.085631320597099,0.081110617281853,0.086102174573766,0.086709296637818,0.088829866760362
Escherichia_coli_vB_Eco1033,0.085984940310323,0.085491386113635,0.335546345761523,0.080333123743887,0.085589277061993,1,0.122119599768808,0.786729046811595,0.084907556418244,0.795688934163473,0.135445944243777,0.084872245149409,0.109443709131849,0.855390158868995,0.087400385066788,0.081228612673621,0.08607395821355,0.085267063288704,0.072284097506868,0.094822653421528,0.108536295494197,0.075056916897826,0.087801648841757,0.077429215198926,0.081503800963507,0.071817921716845,0.073487642451265,0.086342327782462,0.085432618354506,0.089588843036914,0.093167389265922,0.092419347302663,0.076731395501544,0.092716011734017,0.085158819222982,0.087738985559046,0.083880359172058,0.08452400856683,0.083664093971926,0.08763458276069,0.084164161997129,0.084396836453042,0.08836383301089,0.086700141528887,0.084714613629548,0.084515149440455,0.083926310821905,0.095809370923516,0.085540270282439,0.08803587784838,0.078497469269801,0.080998541999889,0.07994455001053,0.079714133401301,0.087419839609185,0.080492024817189,0.080342683359504,0.080740561914615,0.080421747127576,0.074488362711099,0.072826415130134,0.080968345531413,0.080842180719907,0.080802359650764,0.08039453291087,0.079793409365447,0.09266011317049,0.079276518050225,0.080623747616616,0.079998512889491
Escherichia_coli_vB_Eco1022,0.089216151834814,0.085838467168064,0.09710101504833,0.078863515292657,0.08814879508164,0.123988907150131,1,0.108105667775562,0.078850792885211,0.127406412000025,0.767783495671391,0.078792070187858,0.768137166873201,0.110832766668459,0.096433906287635,0.084964148194926,0.088485605257731,0.093243665137481,0.074876768773906,0.106802322081635,0.113335637494712,0.075362616915767,0.097404898372541,0.081646045533005,0.081524303277487,0.071717469740919,0.07227316381098,0.096777918424383,0.09738892660956,0.098546867600134,0.100191072396164,0.099839869266496,0.079813535637824,0.100839914381285,0.085471970383361,0.08523811031577,0.081997574472169,0.084319651060184,0.088073823769717,0.085452833203148,0.086899342680431,0.087169019735046,0.085311284755796,0.085773044256267,0.087028432358661,0.086544235838831,0.085466201649387,0.097315035070877,0.0827746786636,0.083677130280679,0.076976225950621,0.079838552572823,0.078575011893562,0.078132804028646,0.085375259731127,0.08024040871238,0.080811638845623,0.08016755372522,0.080466880801998,0.07481055759307,0.073230509510837,0.080368501138657,0.080260720397917,0.081218566914678,0.080149746538285,0.077985823529266,0.100637621103156,0.081908947016439,0.080197057168067,0.080812287799158
Escherichia_coli_vB_Eco1016,0.104382691499446,0.102639310553723,0.332040323962539,0.094407138047229,0.102460732593024,0.823356972565511,0.123617507543187,1,0.098745182293171,0.789120150807736,0.136105844182015,0.098708606651086,0.122166343180921,0.923655158247202,0.105028777976866,0.097704602961907,0.105928709866658,0.103044403853578,0.085824294792357,0.108791834682127,0.122251311328204,0.093016836586198,0.102107857014978,0.092789217830023,0.09617428949411,0.085985709844669,0.087127555559348,0.100130505416678,0.101001929612982,0.103960446710979,0.108827670569264,0.107345586547044,0.092768167521466,0.107323328191344,0.099714598896293,0.101759581087556,0.098109405920263,0.098874458893562,0.097191278456463,0.101550948854441,0.096862575884956,0.097223167956239,0.10224643150548,0.099766718954997,0.099836647114075,0.099926511142033,0.097263416399808,0.112369477447538,0.098700965454722,0.101930592703958,0.091334434745699,0.09319063968282,0.092763044124438,0.091509160425836,0.107511669428417,0.092169654659601,0.091062110471346,0.093002453888369,0.091235644903862,0.090022006276839,0.087628204711632,0.09174479597938,0.092948918372006,0.09132644860825,0.091213859360748,0.091717535751513,0.108017125866287,0.095414844187462,0.091867139043781,0.093143852797267
Escherichia_coli_vB_Eco1007,0.090246499486349,0.090516858510018,0.079241401273822,0.277298523674056,0.088710499498605,0.08120198315772,0.079037145664818,0.080030844818249,1,0.077691654862485,0.102739719126874,0.985346512378528,0.07900582530279,0.080878678438798,0.091361815722258,0.371301113611087,0.091633025673674,0.089076587070574,0.091017194736681,0.084092961406877,0.090831326806997,0.08235517727871,0.089163868158071,0.080590867354226,0.083527279282181,0.072981304779764,0.073840359634171,0.088648233491817,0.076878400293908,0.077616730165669,0.079419948719906,0.079188367084278,0.085755546391834,0.080194250486078,0.077801593234849,0.084237177373561,0.084128750605613,0.07697419398421,0.077763421598821,0.077370790438296,0.084455668576769,0.084220301684448,0.077283931355735,0.079275317031542,0.081037475098614,0.080902604851179,0.07759113733635,0.090117347794396,0.082735759971606,0.08460607428495,0.081919226052971,0.082404013427226,0.082328952064457,0.081173401155093,0.077573245371118,0.082749790258584,0.082447416425928,0.082487162706552,0.08247478634957,0.075888483485157,0.077708359009565,0.082563750127522,0.082069866965787,0.08246879794138,0.082306253986432,0.080717073699099,0.078459975456103,0.088195138684122,0.081450804177103,0.07821564923007
Escherichia_coli_vB_Eco1011,0.085946565081049,0.084436655806909,0.318092961034477,0.075827766391408,0.084109232939297,0.814967034172346,0.12631439954213,0.763022103300386,0.077560914696431,1,0.127381416526655,0.07756575436449,0.113076508095763,0.83893759539505,0.086629825799403,0.077385806900634,0.085844991306958,0.080743476273962,0.070949793026487,0.092603538406934,0.100625846974015,0.076650187129319,0.082353318316821,0.075052004400138,0.077052578417215,0.06796173621569,0.069000997746615,0.081332182885513,0.089276926511124,0.092329957356897,0.095409120962097,0.094271526248874,0.076653541604546,0.096008805627867,0.085344832434412,0.083150056329453,0.082227815047823,0.083371356688367,0.083478933079678,0.086939953847357,0.0860683017883,0.086304422724998,0.087717964295393,0.08548385883771,0.086922740926768,0.086448249173418,0.082806385537986,0.092520851698433,0.080803402193715,0.083917587580743,0.07658790211229,0.076265284875236,0.075575243673619,0.075052662420177,0.092834131740761,0.076462998401007,0.07666349880578,0.075949833926722,0.077463121337823,0.074480022218288,0.070474615823421,0.075926398949486,0.076239437084075,0.076828455894358,0.077438890896635,0.075207965392077,0.097079569544194,0.077798747088627,0.076371208762756,0.07555569636045
